skew_level,EVA,EVB,EVD,EVA_complex,EVB_complex,EVD_complex,SDA,SDB,SDD,SDA_complex,SDB_complex,SDD_complex,skewness_a,skewness_b,skewness_diff,skewness_a_complex,skewness_b_complex,skewness_diff_complex
left_vs_right,47.7,68.15,-20.45,47.76,67.92,-20.16,13.45,7.5,5.95,14.2,8.29,5.9,-1.67,1.96,-3.63,-1.57,1.76,-3.33
left_vs_right,87.52,107.06,-19.54,87.58,107.17,-19.59,19.43,10.06,9.37,20.06,10.85,9.21,-1.85,2.08,-3.93,-1.61,2.04,-3.66
left_vs_right,91.0,111.16,-20.16,90.94,111.32,-20.38,21.42,5.85,15.57,22.14,6.84,15.3,-1.96,2.34,-4.3,-1.78,2.29,-4.07
left_vs_right,75.35,84.38,-9.03,75.57,84.45,-8.88,11.07,5.26,5.81,11.94,6.18,5.76,-1.96,1.76,-3.72,-1.83,1.7,-3.52
left_vs_right,84.2,94.2,-10.0,84.69,94.14,-9.45,18.57,8.4,10.17,18.18,9.32,8.86,-1.96,1.5,-3.46,-1.7,1.3,-3.0
left_vs_right,104.25,114.2,-9.95,104.12,114.24,-10.12,23.21,8.4,14.81,23.64,9.3,14.34,-1.96,1.5,-3.46,-1.87,1.5,-3.38
left_vs_right,82.8,82.64,0.16,82.67,82.47,0.2,15.37,10.63,4.74,15.91,11.45,4.46,-1.67,1.85,-3.52,-1.52,1.7,-3.22
left_vs_right,96.01,96.08,-0.07,95.46,95.92,-0.46,17.65,7.63,10.02,19.66,8.38,11.29,-1.76,2.08,-3.83,-1.72,1.83,-3.55
left_vs_right,105.2,104.56,0.64,104.95,104.21,0.74,18.57,4.22,14.34,19.13,4.59,14.55,-1.96,2.34,-4.3,-1.74,2.23,-3.96
left_vs_right,54.8,45.4,9.4,54.71,45.73,8.98,11.37,7.2,4.17,12.33,8.1,4.22,-2.34,2.67,-5.01,-2.11,2.67,-4.78
left_vs_right,103.88,93.91,9.97,103.33,94.07,9.26,18.83,8.64,10.19,18.81,9.48,9.34,-1.58,1.76,-3.34,-1.54,1.57,-3.12
left_vs_right,94.84,85.4,9.44,94.79,85.42,9.37,23.82,8.8,15.02,24.8,9.7,15.1,-1.67,1.5,-3.17,-1.43,1.33,-2.75
left_vs_right,120.6,100.99,19.61,120.07,100.81,19.26,12.52,7.73,4.78,14.01,8.63,5.37,-2.49,2.2,-4.69,-2.38,2.19,-4.57
left_vs_right,78.98,59.66,19.32,79.04,59.73,19.31,14.92,5.49,9.43,15.71,6.47,9.23,-2.08,1.58,-3.66,-1.97,1.44,-3.41
left_vs_right,120.3,99.9,20.4,120.29,99.68,20.61,24.97,9.28,15.69,25.45,10.14,15.31,-1.67,1.96,-3.63,-1.6,1.76,-3.36
no_skew_vs_no_skew,118.72,137.92,-19.2,118.48,137.96,-19.48,15.95,10.49,5.46,16.78,11.05,5.73,0.16,-0.08,0.24,0.21,-0.01,0.22
no_skew_vs_no_skew,36.3,55.52,-19.22,36.61,55.37,-18.76,22.88,12.99,9.9,22.99,13.76,9.23,-0.2,-0.08,-0.12,-0.1,-0.06,-0.05
no_skew_vs_no_skew,114.46,134.52,-20.06,114.6,134.34,-19.74,23.0,8.44,14.56,23.83,9.18,14.65,-0.04,-0.24,0.2,-0.09,-0.22,0.13
no_skew_vs_no_skew,84.76,93.88,-9.12,84.93,93.82,-8.89,18.98,13.4,5.58,19.73,14.24,5.48,-0.08,0.24,-0.32,-0.08,0.2,-0.28
no_skew_vs_no_skew,36.28,46.1,-9.82,36.36,46.01,-9.65,17.99,8.95,9.03,18.84,9.75,9.09,0.08,0.2,-0.12,0.15,0.13,0.02
no_skew_vs_no_skew,108.32,117.9,-9.58,108.38,117.79,-9.41,23.33,7.48,15.85,24.14,8.15,15.99,-0.24,0.16,-0.4,-0.21,0.08,-0.3
no_skew_vs_no_skew,47.16,47.42,-0.26,47.2,47.53,-0.33,16.49,11.46,5.02,17.21,12.23,4.98,-0.08,-0.16,0.08,-0.03,-0.19,0.16
no_skew_vs_no_skew,76.35,75.65,0.7,76.21,75.61,0.6,18.41,7.5,10.91,19.18,8.45,10.72,-0.2,-0.04,-0.16,-0.29,-0.13,-0.17
no_skew_vs_no_skew,131.96,132.88,-0.92,131.81,132.46,-0.65,20.35,6.0,14.35,20.98,6.99,13.99,-0.24,0.04,-0.28,-0.17,0.14,-0.3
no_skew_vs_no_skew,125.44,114.56,10.88,125.6,114.63,10.97,17.94,12.91,5.04,18.73,13.86,4.87,-0.16,-0.24,0.08,-0.08,-0.18,0.1
no_skew_vs_no_skew,116.85,107.7,9.15,116.81,107.66,9.15,17.5,6.96,10.53,17.93,7.94,9.99,-0.04,-0.2,0.16,-0.06,-0.29,0.23
no_skew_vs_no_skew,92.9,83.16,9.74,93.01,83.22,9.79,18.9,4.0,14.91,19.58,4.89,14.69,-0.2,-0.08,-0.12,-0.12,-0.03,-0.09
no_skew_vs_no_skew,59.26,39.8,19.46,59.09,39.51,19.58,15.45,9.93,5.52,16.09,10.68,5.41,0.16,0.24,-0.08,0.09,0.2,-0.11
no_skew_vs_no_skew,135.67,115.33,20.34,135.49,115.42,20.07,19.46,8.5,10.97,19.41,9.48,9.93,-0.12,0.04,-0.16,-0.17,-0.02,-0.15
no_skew_vs_no_skew,53.42,33.84,19.58,53.32,33.85,19.47,21.0,6.95,14.05,21.78,7.69,14.09,-0.04,-0.24,0.2,-0.14,-0.3,0.16
right_vs_left,79.72,99.62,-19.9,79.87,99.6,-19.73,10.07,5.9,4.18,11.04,6.8,4.24,2.34,-2.08,4.41,2.29,-1.9,4.19
right_vs_left,144.48,165.3,-20.82,144.64,165.37,-20.73,16.53,6.43,10.1,17.12,7.41,9.71,1.76,-1.96,3.72,1.61,-1.86,3.47
right_vs_left,77.82,97.98,-20.16,78.02,97.8,-19.78,30.6,14.92,15.68,30.88,15.68,15.21,1.58,-2.08,3.66,1.42,-1.92,3.34
right_vs_left,54.7,63.79,-9.09,54.42,63.73,-9.31,11.1,5.72,5.38,12.07,6.65,5.42,2.67,-2.2,4.87,2.42,-2.05,4.47
right_vs_left,104.15,113.6,-9.45,104.15,113.69,-9.54,21.78,10.8,10.98,22.18,11.59,10.59,1.96,-1.5,3.46,1.81,-1.4,3.21
right_vs_left,55.55,65.18,-9.63,55.62,65.16,-9.54,20.35,4.71,15.64,20.88,5.7,15.19,1.96,-2.2,4.16,1.88,-2.09,3.96
right_vs_left,134.96,135.96,-1.0,134.87,135.92,-1.05,11.36,5.52,5.84,12.18,6.41,5.77,1.85,-2.34,4.19,1.69,-2.16,3.86
right_vs_left,90.0,90.01,-0.01,89.94,90.2,-0.26,17.35,8.24,9.11,17.95,9.08,8.86,2.08,-1.58,3.66,1.97,-1.48,3.44
right_vs_left,77.0,76.15,0.85,77.14,76.11,1.03,28.0,13.93,14.07,28.44,14.71,13.73,1.5,-1.96,3.46,1.34,-1.73,3.07
right_vs_left,57.92,48.91,9.01,57.79,49.0,8.79,9.72,4.32,5.4,10.64,4.8,5.84,2.08,-1.58,3.66,1.85,-1.44,3.29
right_vs_left,86.65,75.85,10.8,86.78,75.76,11.02,16.9,7.5,9.4,17.49,8.27,9.22,1.76,-1.96,3.72,1.64,-2.09,3.73
right_vs_left,78.7,69.34,9.36,78.9,69.04,9.86,20.71,5.49,15.22,21.46,6.48,14.98,1.96,-1.58,3.54,1.84,-1.52,3.36
right_vs_left,113.4,93.2,20.2,113.39,93.32,20.07,16.8,11.0,5.8,17.53,11.59,5.94,1.5,-1.85,3.35,1.51,-2.15,3.66
right_vs_left,110.72,90.84,19.88,110.76,91.26,19.5,15.4,5.85,9.55,16.37,6.81,9.56,1.85,-2.34,4.19,1.77,-2.1,3.87
right_vs_left,94.96,74.84,20.12,94.81,74.85,19.96,20.53,5.85,14.68,21.23,6.78,14.45,1.85,-2.34,4.19,1.74,-2.24,3.98
